,Eff Gas Day/Eff Time,TSP Name,CycleDesc,Loc Purp Desc,Loc,Loc Name,Loc Zn,Loc (Segment),Design Capacity,Operating Capacity,Total Scheduled Quantity,Operationally Available Capacity,IT,Flow Ind,All Qty Avail,Qty Reason,TimeStamp
182,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,48273,BHSC/NGPL BEATRICE GAGE            ,2.0,11.0,"14,000","14,000","1,156","12,844",N,D,Y,,2025-04-26 10:40:07
183,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,48381,E TX ELE/NGPL ETEC UNIT#1 SAN JACIN,3.0,26.0,"44,330","44,330","7,300","37,030",N,D,Y,,2025-04-26 10:40:07
184,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,48382,E TX ELE/NGPL ENTERGY UNIT#2 SAN JA,3.0,26.0,"44,330","44,330",0,"44,330",N,D,Y,,2025-04-26 10:40:07
185,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,48530,GULFSTH/NGPL COASTAL BEND WHARTON  ,4.0,22.0,"850,000","850,000","15,845","834,155",N,BD,Y,,2025-04-26 10:40:07
186,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,48934,CCCPL/NGPL SINTON SAN PATRICIO     ,4.0,22.0,"1,030,000","1,030,000","240,783","789,217",Y,D,Y,,2025-04-26 10:40:07
187,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,49222,"CFS-STX/NGPL MESTENA GRANDE 8"" JIM ",4.0,18.0,"10,000","10,000",0,"10,000",N,D,Y,,2025-04-26 10:40:07
188,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,49479,KIOWA PP/NGPL KIAMICHI POWER PLANT ,3.0,16.0,"253,000","253,000","43,788","209,212",N,D,Y,,2025-04-26 10:40:07
189,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,49574,WHITEWTR/NGPL WAHA CONNECTOR WARD  ,1.0,9.0,"500,000","500,000",50,"499,950",N,BD,Y,,2025-04-26 10:40:07
190,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,50776,VERSADO/NGPL FUEL GAS LEA          ,1.0,9.0,"2,100","2,100","1,740",360,N,D,Y,,2025-04-26 10:40:07
191,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,53776,VCP/NGPL MUSTANG M/L 1 NUECES      ,4.0,20.0,"500,000","500,000","91,845","408,155",N,BD,Y,,2025-04-26 10:40:07
192,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,53785,OASIS/NGPL SAGEBRUSH WARD          ,1.0,9.0,"500,000","500,000",0,"500,000",N,BD,Y,,2025-04-26 10:40:07
193,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,53830,TARGAND/NGPL SAN SIMON LEA         ,1.0,9.0,"9,300","9,300","2,500","6,800",N,D,Y,,2025-04-26 10:40:07
194,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,53967,TARGAND/NGPL CRITTENDON WINKLER    ,1.0,9.0,"6,700","6,700",70,"6,630",N,D,Y,,2025-04-26 10:40:07
195,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,54683,GULFSTH/NGPL DIST. GOODRICH POLK   ,3.0,26.0,"200,000","200,000","97,483","102,517",N,D,Y,,2025-04-26 10:40:07
